postId,posCommentCount,neuCommentCount,negCommentCount,totalCommentCount,netCompound
1991716644473195_2021449424833250,9,13,0,22,4.6988
1991716644473195_2021488191496040,4,3,0,7,1.1153
1991716644473195_2021552898156236,9,8,1,18,3.2825
1991716644473195_2021600044818188,0,5,0,5,0
1991716644473195_2021843591460500,0,2,1,3,-0.6249
1991716644473195_2021845498126976,1,3,0,4,0.296
1991716644473195_2021914714786721,0,1,1,2,-0.296
1991716644473195_2021923124785880,0,1,0,1,0
1991716644473195_2021967841448075,0,6,0,6,0
1991716644473195_2022017351443124,2,12,2,16,-0.0897
1991716644473195_2022018638109662,1,0,1,2,0.092
1991716644473195_2022195728091953,0,1,0,1,0
1991716644473195_2022202748091251,1,4,2,7,-1.0208
1991716644473195_2022209711423888,3,5,0,8,1.2926
1991716644473195_2022425148069011,0,4,3,7,-0.8006
1991716644473195_2022710538040472,0,1,0,1,0
1991716644473195_2022711934706999,1,0,0,1,0.4939
1991716644473195_2022755448035981,1,3,1,5,-0.0619
1991716644473195_2022820581362801,0,1,0,1,0
1991716644473195_2022888524689340,3,2,0,5,1.6554
1991716644473195_2022977891347070,0,3,0,3,0
